oyun_adi,puan,fiyat,yas_siniri,guncellenme_tarihi,tur_adi,URL
Lumi Master,,,3,,Gündelik,https://play.google.com/store/apps/details?id=com.bilibili.lumi
Hold on! Lord!,,,7,,Simülasyon,https://play.google.com/store/apps/details?id=com.buffstudio.holdonlord
"Supremacy: Warhammer 40,000",,,16,,"Strateji, Savaş oyunu",https://play.google.com/store/apps/details?id=com.bytro.warhammer40ksupremacy
Abyssal Soul - Card Roguelike,,,7,,Kart,https://play.google.com/store/apps/details?id=com.chillyroom.containerofsoul.gp
Ruler of the Land: Fire dragon,,,7,,Rol yapma,https://play.google.com/store/apps/details?id=com.cle.yulgang_gb
Star Sailors,,,12,,"Rol Yapma, Sıraya dayalı RYO",https://play.google.com/store/apps/details?id=com.com2usholdings.starsailors.android.google.global.normal
OTR 2,,,3,,Yarış,https://play.google.com/store/apps/details?id=com.dogbytegames.otrnext
Dynasty Warriors: Overlords,,,7,,Aksiyon,https://play.google.com/store/apps/details?id=com.emagroups.zs
Warline: Sniper Strike,,,16,,"Strateji, 4X",https://play.google.com/store/apps/details?id=com.farlightgames.warline.gp.global
PancitoMerge,,,3,,Bulmaca,https://play.google.com/store/apps/details?id=com.fayerdev.pancitomerge
Dragonfall Kingdom,,,3,,Strateji,https://play.google.com/store/apps/details?id=com.gamehollywood.dk
Delicious: Festival of Dreams,,,3,,Simülasyon,https://play.google.com/store/apps/details?id=com.gamehouse.delicious22.restaurant.festival.story.cooking.simulation
NTE: Neverness to Everness,"4,5",0,12,18 Mayıs 2026,"Rol Yapma, Aksiyon Rol Yapma",https://play.google.com/store/apps/details?id=com.hottagames.nte
Dicero,"4,7",0,7,10 Mayıs 2026,Gündelik,https://play.google.com/store/apps/details?id=com.bailing.lark.roll.dev
Ürünler Akını! 3D Sıralama,"4,5",0,3,13 Mart 2026,Bulmaca,https://play.google.com/store/apps/details?id=com.triple.match.goods.sort.puzzle.game
Catch & Build: Land of Pals,"2,5",0,7,2 Mayıs 2026,Strateji,https://play.google.com/store/apps/details?id=com.sgclglo.google
Clash of Critters,"3,8",0,3,21 Mayıs 2026,"Strateji, Kule savunması",https://play.google.com/store/apps/details?id=com.farlightgames.pgame.gp
Genesis War,"1,7",0,12,13 Mayıs 2026,Rol Yapma,https://play.google.com/store/apps/details?id=com.linegames.gmg
Cats&Soup : Merge Magic Recipe,"4,6",0,3,28 Nisan 2026,"Bulmaca, Birleştirme, Basit",https://play.google.com/store/apps/details?id=com.hidea.cat.magicrecipe
Karo Lezzeti: Eşleştirme Oyunu,,0,3,,Bulmaca,https://play.google.com/store/apps/details?id=com.tile.flavor.puzzle.match.triple.sort.game
Where Winds Meet,"4,0",0,16,19 Mart 2026,"Rol Yapma, Aksiyon Rol Yapma",https://play.google.com/store/apps/details?id=com.netease.yysls
Hero Park 2,,0,7,,Simülasyon,https://play.google.com/store/apps/details?id=com.FunFlavorGames.HeroPark2
Conquest Tactics: Realm of Sin,,"399,99",3,,Masa oyunları,https://play.google.com/store/apps/details?id=com.SingularSunshineStudios.ConquestTactics
Gökyüzünün Tüccarı,,"199,00",3,,Simülasyon,https://play.google.com/store/apps/details?id=com.astralride.mots
Tokyo Ghoul : Break the Chains,"4,4",0,7,25 Aralık 2025,"Rol Yapma, Sıraya dayalı RYO",https://play.google.com/store/apps/details?id=com.funcat.tgbtceu
War Legends:RTS strateji oyunu,,0,3,,"Strateji, Şehir kurma ve savaş, Basit",https://play.google.com/store/apps/details?id=com.geargames.warlegends.rts.strategy.game
ALLfiring,"4,5",0,3,15 Mayıs 2026,Rol yapma,https://play.google.com/store/apps/details?id=com.genmugame.prometheus
Punishing: Gray Raven,"4,4",0,12,27 Nisan 2026,"Rol Yapma, Aksiyon Rol Yapma",https://play.google.com/store/apps/details?id=com.kurogame.gplay.punishing.grayraven.en
FairyTale Quest,"3,1",0,7,19 Mayıs 2026,"Rol Yapma, Roguelike oyunlar",https://play.google.com/store/apps/details?id=com.linegames.fq
Little Corner Tea House,,0,3,,"Simülasyon, Zaman yönetimi, Basit",https://play.google.com/store/apps/details?id=com.loongcheer.unicon.littlecornerteahouse
Farm Rush: Hasat Patronu,"4,9",0,3,23 Mayıs 2026,Arcade,https://play.google.com/store/apps/details?id=com.miniclip.farmrush
