kategori,Guvenli/Tehlikeli
Modern                                  ,Güvenli
Metin Tabanlı                           ,Güvenli
Psikedelik                              ,Güvenli
Amerika                                 ,Güvenli
Uçuş                                    ,Güvenli
Hikâye Tarzında                         ,Güvenli
Lineer Olmayan                          ,Güvenli
Üçlü Eşleme                             ,Güvenli
CRPG                                    ,Güvenli
JRYO                                    ,Güvenli
Zindan Tarayıcısı                       ,Güvenli
Robotlar                                ,Güvenli
Oynaması Ücretsiz                       ,Güvenli
4 Yerel Oyunculu                        ,Güvenli
Ganimet                                 ,Güvenli
Açık Dünya Hayatta Kalma İnşa           ,Güvenli
E-spor                                  ,Güvenli
Tasarım ve İllüstrasyon                 ,Güvenli
Parti Tabanlı RYO                       ,Güvenli
Deneysel                                ,Güvenli
Öğretici                                ,Güvenli
Aksiyon-macera                          ,Güvenli
Eşli Ana Görev                          ,Güvenli
Koşu                                    ,Güvenli
Felsefi                                 ,Güvenli
Tarım                                   ,Güvenli
Uzaylılar                               ,Güvenli
Madencilik                              ,Güvenli
Kelime                                  ,Güvenli
Mitoloji                                ,Güvenli
Yaşam Tarzı                             ,Güvenli
MOBA                                    ,Güvenli
Diplomasi                               ,Güvenli
Altıgen Izgara                          ,Güvenli
Gündelik                                ,Güvenli
Noir                                    ,Güvenli
Roguelike Deste Oluşturma               ,Güvenli
Futbol                                  ,Güvenli
Soyut strateji                          ,Güvenli
Siyaset Simülatörü                      ,Güvenli
Sürükleyici                             ,Güvenli
Uzay Simülasyonu                        ,Güvenli
Araç                                    ,Güvenli
Parti Oyunu                             ,Güvenli
Yapay Zekâ                              ,Güvenli
Eğitim                                  ,Güvenli
Kart                                    ,Güvenli
Music                                   ,Güvenli
Dükkân Sahibi                           ,Güvenli
Güzel                                   ,Güvenli
Durdurulabilir Gerçek Zamanlı           ,Güvenli
Zamana Karşı                            ,Güvenli
Yardımcı Uygulamalar                    ,Güvenli
Politik                                 ,Güvenli
RTS                                     ,Güvenli
Bilim                                   ,Güvenli
Balıkçılık                              ,Güvenli
Aksiyon GZS                             ,Güvenli
Trivia                                  ,Güvenli
Sınıf Tabanlı                           ,Güvenli
Ulaşım                                  ,Güvenli
Mini Oyun                               ,Güvenli
Çiftçilik                               ,Güvenli
Animasyon ve Modelleme                  ,Güvenli
Kule savunması                          ,Güvenli
Avlanma                                 ,Güvenli
Kaçış Odası                             ,Güvenli
Köpek                                   ,Güvenli
Yaşam                                  ,Güvenli
Solitaire                               ,Güvenli
Süper Kahraman                          ,Güvenli
Izgara Tabanlı Hareket                  ,Güvenli
Arama                                   ,Güvenli
Yazılım                                 ,Güvenli
Steampunk                               ,Güvenli
Zaman Manipülasyonu                     ,Güvenli
Offroad                                 ,Güvenli
Bullet Time                             ,Güvenli
Tanrı Oyunu                             ,Güvenli
RPGMaker                                ,Güvenli
İş Simülatörü                           ,Güvenli
Sadece Fare                             ,Güvenli
Çarpışan araba                          ,Güvenli
Politika                                ,Güvenli
Mech'ler                                ,Güvenli
Hızlı Reaksiyon İsteyen Olaylar         ,Güvenli
Ses Prodüksiyonu                        ,Güvenli
Platformer                              ,Güvenli
Komplo                                 ,Güvenli
3D Görünüm                              ,Güvenli
6DOF                                    ,Güvenli
FMV                                     ,Güvenli
Üçlü eşleştirme macerası                ,Güvenli
Tren                                    ,Güvenli
First-Person                            ,Güvenli
3'lü Eşleştirme                         ,Güvenli
Korsanlar                               ,Güvenli
Hack'leme                               ,Güvenli
Ejderha                                 ,Güvenli
Su Altı                                 ,Güvenli
Motosiklet ve bisiklet                  ,Güvenli
Aksiyon Rol Yapma                       ,Güvenli
Giysi Deneme                            ,Güvenli
İş adamı                                ,Güvenli
Parodi                                  ,Güvenli
Yer Altı                                ,Güvenli
Dinamik Anlatı                          ,Güvenli
Motosiklet                              ,Güvenli
Zaman yönetimi                          ,Güvenli
Zeka oyunu                              ,Güvenli
Denizcilik                              ,Güvenli
Kısa Test                               ,Güvenli
Voxel                                   ,Güvenli
Bilgi Yarışması                         ,Güvenli
Bakım                                   ,Güvenli
Yazma                                   ,Güvenli
Satranç                                 ,Güvenli
Remake                                  ,Güvenli
Kült Klasik                             ,Güvenli
Birleştirme                             ,Güvenli
Programlama                             ,Güvenli
Koleksiyon Kartı Oyunu                  ,Güvenli
Zaman Yolculuğu                         ,Güvenli
Eş Zamansız Çok Oyunculu                ,Güvenli
Seri Devamı                             ,Güvenli
Koşucu                                  ,Güvenli
Araba simülasyonu                       ,Güvenli
Vahşi Batı                              ,Güvenli
Kar                                     ,Güvenli
Multiplayer                             ,Güvenli
Kelime Oyunu                            ,Güvenli
Dungeons & Dragons                      ,Güvenli
Ninja                                   ,Güvenli
Araba yarışı                          ,Güvenli
Sıralama                                ,Güvenli
Evcil hayvan                            ,Güvenli
Gerçek Zamanlı                          ,Güvenli
Karakter Merkezli Aksiyon               ,Güvenli
Okçuluk                                 ,Güvenli
Mini oyunlar                            ,Güvenli
Roguevania                              ,Güvenli
Sıraya dayalı RYO                       ,Güvenli
Nostalji                                ,Güvenli
Tıp Simülatörü                          ,Güvenli
Zar                                     ,Güvenli
Epik                                    ,Güvenli
İkili eşleme                            ,Güvenli
Müzik Tabanlı Prosedürel Oluşturma      ,Güvenli
Bölümlere Ayrılmış                      ,Güvenli
Devasa Çok Oyunculu RYO                 ,Güvenli
Dokunmatik Kontroller                   ,Güvenli
Mod                                     ,Güvenli
Kaçış                                   ,Güvenli
Fotoğraf Düzenleme                      ,Güvenli
Bisiklet                                ,Güvenli
Fitness                                 ,Güvenli
Blok                                    ,Güvenli
Uzay Gemileri                           ,Güvenli
Oyun Geliştirme                         ,Güvenli
Basketbol                               ,Güvenli
Bulmacalı macera                        ,Güvenli
Rol yapma                               ,Güvenli
Restoran                                ,Güvenli
Roma                                    ,Güvenli
Dil                                     ,Güvenli
Oyun Atölyesi                           ,Güvenli
Yelkencilik                             ,Güvenli
Matematik                               ,Güvenli
BMX                                     ,Güvenli
Sokoban                                 ,Güvenli
Beyzbol                                 ,Güvenli
Vikingler                               ,Güvenli
Deneyim                                 ,Güvenli
Yazım                                   ,Güvenli
LEGO                                    ,Güvenli
Koçluk                                   ,Güvenli
Tasarım                                  ,Güvenli
Çok basit                                ,Güvenli
IO oyun                                  ,Güvenli
ATV                                      ,Güvenli
Hack and slash                           ,Güvenli
Training                                 ,Güvenli
Yabancı                                  ,Güvenli
Denizaltı                                ,Güvenli
Board Game                               ,Güvenli
Kurşun yağdırma                          ,Güvenli
ABC                                     ,Güvenli
Kamyon simülasyonu                       ,Güvenli
Video Prodüksiyonu                       ,Güvenli
Motokros                                 ,Güvenli
Golf                                     ,Güvenli
Ludo (Kızma Birader)                     ,Güvenli
Tenis                                    ,Güvenli
İnanç                                    ,Güvenli
Oyun                                     ,Güvenli
Family                                   ,Güvenli
Casual                                   ,Güvenli
360° Video                               ,Güvenli
Ambiyant                                ,Güvenli
Atlar                                    ,Güvenli
Snowboard                                ,Güvenli
Mahjong solitaire                        ,Güvenli
MMORPG                                   ,Güvenli
Boks                                     ,Güvenli
Well-Written                             ,Güvenli
İllüminati                               ,Güvenli
Kickstarter                              ,Güvenli
Boyama                                   ,Güvenli
Zeka eğitimi                             ,Güvenli
Education                                ,Güvenli
Roguelike oyunlar                        ,Güvenli
Paten                                    ,Güvenli
Çizim                                    ,Güvenli
GameMaker                                ,Güvenli
Etkileşimli hikaye                       ,Güvenli
Hokey                                   ,Güvenli
Kurt Adam                                ,Güvenli
Kriket                                   ,Güvenli
Jet                                      ,Güvenli
Dama                                     ,Güvenli
Hobi Simülatörü                          ,Güvenli
Slot                                     ,Güvenli
